nickname,talk
삥삥,와 진짜 송중기님은 38살이라는게 안믿김. 유튜브에 이탈리아 여자분이 빈센조 발음 보고 말한거 나왔는데 그 영상에 23살정도로 보인다고 했늠
tisp****,외국인 팬분들 진짜 많던데 백상 홍보좀 다방면에 부탁드립니다!! ㅠㅠㅠㅠ
jud,메이킹은 안 보여주나요???
kkoopp,시즌2 기대합니다 !!꼭 !!
삥삥,빈센조 보다가 송중기님 이탈리아어 나무 멋져서.....이탈리아어 해보려고 책 알아보고 있스ㅂ니다...
bac,Song Jong Ki talk about VINCENZO Season 2 😍#빈센조https://youtu.be/zGyEJBXSSiw
삥삥,센차커플....연애하다가 결혼해서 결혼생활하는거도 봐야죠 감독님
시나,송중기~~~~보고싶따
삥삥,"송중기님 미모 직관하셨던 전여빈님 살아계신가요.....? 전 방송으로 볼 때도 ""와...존잘이다 진짜..저게 사람이냐..."" 이러면서 봤었는데.."
dlwl****,백상예술 투표 공유하면 총6번 투표할 수 있는거 맞죠??
삥삥,그립습니다 사무장님
삥삥,ㅋㅋㅋㅋㅋ변호사넴~~
someday,변호사녬~~~
삥삥,근데 펜하보다 빈센조가 사람이 더 많이 죽었네요ㅇㅅㅇ 몰랐네
kaki****,저두요..
삥삥,펜하도 끝났을 때 아쉽긴 했지...하지만 빈센조가 더 아쉬운 거 같아요ㅠㅠ빈손실 벌써왔다는 빈바..
kaki****,넵
삥삥,오우 카키님 저랑 동갑이시구나!ㅋㅋㅋㅋ 09년생이신가 봐여
삥삥,제가요....드라마 쳐돌ㅇ..안 처순이인데요 낭닥 이후로 끝난게 이렇게 아쉬운 드라마는 첨이에요..사불도 그렇게 많이 아쉽진 않았는데...
kaki****,삥삥님 저랑 동갑이시네요...ㅎ
gao,시즌2 존버 ㅠㅠ
삥삥,와...태양의 후예가 2016년도에 한 드라마였네요....그때 당시 8살이었는데 왜 본 기억이 있나 했는데.. 언니랑 나이차가 많이 나서 언니가 볼 때 옆에서 같이 봤었나 봐요ㅋㅋㅋ
이창희,전 벌써 백상투표하고있는디요. 모두들 투표하세요 공유도 하면 2번 기회가 더 생겨요. 얼릉얼릉 하십시요 7일 유투브 라이브방송 기달려집니다.
gao,시즌이 해주세요 ㅠㅠㅠ
tisp****,백상 하루에 3번 투표 가능합니다. 서예지는 왜 1위인지 면상 볼라그러나 ㅋㅋㅋㅋ철면피
kaki****,퍼가요
금가동,작가님.. 감독님.. 이제 알았어요.. 센조와 차영이가.. 데이트를 했다는 걸.. 센조 얼굴의 상처로 짐작이 가능한 연출.. 와 진짜 미쳤어.. 이 미친 연출 지금 알고 내가 미쳐간다..🔫
kaki****,내 투표오오오오ㅠㅠㅠㅠ
삥삥,시즌2 시청자들이 이렇게 기다려요......
kaki****,아아아아짜증나앙ㄱ·아아아
삥삥,방영종료.......가 이렇게 슬픈건지 깨닫게 되네요...
벚꽃엔딩,전 구글멜로 가입했어요
삥삥,악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......악당은 사랑도 독하게 하니까......
벚꽃엔딩,기억은 안나는데 출생년도를 기입해보세요
kaki****,아짜증나ㅠㅜ왜 안돼ㅠㅠㅠ
하나,시즌2 시즌2 가자  아직도 센조 캐릭터 파괴된건 참아지지 않아 마피아가 총도 없이 가고 총가진 사람 앞에서 등보이고 가려하고 구할수 있는 상황에서도 아무것도 안하고 그부분만큼은 진짜 연출 디테일 빵점 물론 감독님 잘해오셨죠 알죠 작가님 감독님 시즌2 바보센조 만든거 시즌2로 돌려주세요 시즌2
벚꽃엔딩,주민증 생일입니다
삥삥,엄태구셔서
삥삥,오우...저희 체육쌤 이름이 엄테구셔서 보고 깜짝 놀랐네여...ㅋㅋㅋㅋ
kaki****,님들 생일 어떻게 했어요?
rlaw****,남 여 인기상은  여자는영~  ㅅ ㅎ ㅅ 힘내고!남자 인기상은 넘 차이가!  압도적!ㅠㅠ여러분  투표 투표!  실천 실천! 지발! ㅠㅠ
까꿍겅쥬,메이킹도 이제 끝인가요ㅠㅠ막회가벌써이틀이지났는데도 여운이 가시질않네요..우짜..금가즈랑 센차넘보고파요..재방송만보고또보고..
kaki****,난 왜안돼ㅠㅠ
삥삥,로그인 했는데 나이 안되서 강제로 비공계 된건데요
kaki****,방법이라도...
삥삥,전 비공계정을 제가 하고 싶어서 한 게 아니라
민쭈니,아휴 가입해버렸네요 ㅋㅋㅋ
안미선,회차가 초반보다 중반 후반으로 갈때 더 재미있어지는 드라마 캐릭터들이 다 살아있네요ㅎㅎ
kaki****,비공계정 어떻게 했어요?ㅜ
삥삥,전 카톡으로 했는데
삥삥,뭐 원래 백상예술대상 퉆 끝나면 지울거라ㅋㅋㅋ
kaki****,어떻게했어요?
삥삥,전 나이 안돼서 비공계정 됐어여..
벚꽃엔딩,카톡으로 가입하기 하세요
삥삥,시즌2.......갑시다 제발ㅠㅠ
kaki****,생일부터 막혀요ㅠ
삥삥,20회 메이킹도 곧 있으면 나오겠죠
벚꽃엔딩,투표해달라고
kwo,20회 메이킹이요
벚꽃엔딩,제가 영어로 올렸어요
삥삥,빈센조 메이킹은 유튜브에 있어요
kwo,빈센조 메이킹 언제 뜨나요?
sun,이거 어떻게 투표하나요??
삥삥,백상예술대상을 송중기님이 타시면 시즌2 할 확률도 좀 생기겠죠 아마?!
찐빈바 유리,송중기 배우님 최우수 가즈아ㅏㅏ
벚꽃엔딩,가족들한테 공유해서 여러번 들가면 되겠네요
삥삥,아마도 그럴 확률이 쫌 되지 않을까여...?
