nickname,talk
dhg,은혜갚은 비둘기까지는 어찌어찌  이해하는데 총든사람두고 묶여있는사람 부터 풀어주는게 말이되나요 넘억지!!
Zero,빈센조가 여태껏 한 대사를 보면 이해 못 할 장면은 아닌것 갇아요 싸움에 여자와 어린아이는 끌어들이지않는다고 .. 근데 홍변을 납치했고 센조 입장에서는 홍변의 안전이 우선이죠 그래서 안전한 곳에 데려다 주려 한것같아요 한서에겐 이미 해외로 가있으라했는데 죽을각오하고 안간다고 했잖아요
보라,여자변호사역 연기가 너무 어색했는데 죽은건 안됐지만 극 완성도로는 다행
viviana,젤 이해안되는 장면이었어요ㅠ 손을 풀어줄게 아니라 같이 제압했어야죠
7mik****,사람 죽이고 힐링다 그렇다치고 섬에서 힐링 한다는 말에지금까지 재미있게 보며 웃었던 모든 웃음이 거둬지네요
수피아,이해를 할 수가 없는 부분... 실제상황이라면 손이 묶인 사람보다 총을 든 사람을 남자 둘이 제압하는게 먼저 아닐까? 드라마이긴 하지만 너무 상식밖의 장면이라...
꽃길,시즌2해주세여 제발~~작가님 부탁합니다아ㅜ
oOoOoO,빈센조 시즌 2 가즈아. 제 주변에 빈센조 재밌다구 낭리났음.
nym,앞으로 빈센조 같은 월메이드 드라마 나오기 힘들어요. 이 정도로 세계적이진 못할거 같네요.
viviana,장한서를 살렸으면 더 좋았을듯ㅠ
유짱,와. 19회 보는데 이해가 안되는 씬이구만
oOoOoO,빈센조 진짜 너무 재밌어요. 최명희 변호사 로펌 직원분 박선영 배우님 팬입니다. !
밀크씨슬,둘이 싸우는데 빈센조는 여자만  챙기고 도망을ㅇ가는가~저부분만 잘만 연출했어도 ~~
Zero,박재범 작가녬!!! 티비엔!! 시즌✌ 제발요 🙏
보라,"억지스러운 전개, 빈센조는 왜 총이 없는가?"
nym,시즌2 한다고 할때까지 톡방이든 어디든 가서 매일 말해야 겠어요.
Zero,저도 무조건 시즌2  찬성입니다 너무 작가생각했나? ㅋㅋㅋ
nym,그래도 작가님이 필력이 좋으시고 조연까지 다 잘 살리시니까 시즌2  나오더라도 실망시키지않을거 같아요
비트,"* 미드 24시, 덱스트 이후 명작이다.   * 빈센조 시즌2 기다린다~!!."
nym,송중기님도 빈센조에 애정이 많은거 같고 다른 배우분들도 시즌2 하고 싶다고 하는거 보면 나올 가성이 많아 보여요.
Zero,그렇긴한데 전작들보다 빈센조 캐릭이 워낙 변화무쌍했고 진짜 보여줄거 다 보여준것같아서 ㅎ 실망하면 어쩌나 싶어서요 ㅎ 워낙 결말에서 보여준 쓰레기 처단법이 기대 그 이상이었어서 그보다 더한 스토리가 나올수 있을까 걱정이 앞서요
김옥란,빈센조 끝나서 너무 아쉬워요~ㅜ시즌2  희망합니다~
nym,박재범 작가님 입장에서도 새로운 주인공 보다 이미 오히려 글 쓰기 더 쉬울거예요. 새로운 인물 만드는것 보다 요즘엔 컨셉이 잡혀있으니까 작가들도 인기 있으면 시즌제를 더 선호한다고 하더라고요.
김경자,빈센조 시즌2  가즈아
써니,재밌고 감사하게 잘봤습니다!
비욘세딩구,작가녬ㅋㅋㅋㅋ
써니,쓰레기를 치우는것. 최고의 결말이네요!악은 견고하며 광할하다!!
Zero,결국 tvN의 결제가 있어야 가능....
nym,스툐디오 드레곤이라 할거  같아요. 보이스는 시즌4까지 나오잖아요.
Zero,박재범작가녬 작가실에 얘기해봐유 ㅎ
써니,악당은 절대헤어지지않아요사라도 독하게 하니까....아....ㅠㅠㅠ
nym,시즌2는 새로운 악당을 만들어야 하는데 시간이 걸리겠죠. 근데 왠지 할거 같아요. 빈센조 만큼 월메이드 드라마는 앞으로 나오기 힘들거 같아요. 제작사 입장에서도 하고 싶겠죠.
shewillcometoyousoon,여기서 옥택연 연기 잘했나요? 초반에만 봤어서
jaison,https://youtu.be/Y7uDj3d1yYA
nym,제작사라도 가서 얘기해야하나! 빈센조 시즌2 해 달라고
Zero,저도 시즌2  원하지만 마퓌아 소재라... 처단하는 방법들도 그렇고 작가가 쥐어짜야하는데 쉽지않을것 같은 너낌이 ㅜㅜ
말씨,장한서를 왜죽여!!!!!!!!! 왜!!!!!! 왜!!!!!!!!!
윤은지,빈센조 시즌2 제발 부탁드려요 ㅜㅜ😥
Zero,차영이 치장하고 나가는 저 옷이랑 악세사리 이쁘게 잘 어울림
nym,시즌2 왠지 나올거 같아요. 송중기님이 얘기한적 열혈사제도 나온다고 했다가 3년째 얘기가 없으니까 확실하지 않아서 말을 이낀거 같아요.세계적으로 인기가 폭발적인데 제작사나 배우분들도 하고 싶겠죠. 지금까지 한국 드라마에선 최고예요
vnel****,빈센조 2기 제발🥺
cre,시즌 2  원합니돠 !!!!! 🙏😭
joojoo,빈센조2갑니까?
amy,시즌2 제발요..원하는 사람이 너무 많아여..뒷이야기라도 살짝 풀어주세용 제발요 우리 배우들 한번이라도 더 보게 제발..
Zero,써니님👋
유병현,에초에 이런 드라마에서 무슨 잔인 타령이야.... 이때까지 잔인한 장면 나올거 다 나왔고만
천리향,검사에요?
nym,그래도 미국 같은 나라나 세계적으로 통하나봐요. 17개국 1위 미국에서도 8위까지 한 거보면요.
akvs****,잔챙이 검사 였나??
천리향,방금 차에 떨어져 죽은 사람 누군가요?
써니,맞아요!
cre,시즌2 해죠요 작가님 ~~~~~~~~~
유병현,ㅇㄴ 여기까지 와서 마지막 찝찝하다 어쩐다 얘길 꼭 해야 함?  결말 이상했으면 걍 빈센조 안보면 될걸.
just****,애정이 많아서 이러쿵저러쿵
써니,마피아 등등 소재는 자극적이었지만 결론은 인과응보
tbq,무조건 시즌2 !!!!!!! 보고싶다 빈센조ㅠㅠ
nym,연말에 전지현 나오는 킹덤 이신전하고 내년 정도에 킹덤3 나올거 같아요.
써니,보기싫으면 눈가리고 안보면될껄 꼭와서 이러쿵저러쿵..쯧
jaison,작가님.. https://youtu.be/Y7uDj3d1yYA
마이웨이,넘 아쉬워 ㅠㅠㅠㅜ 인자기도 보고싶다...
써니,모든인간은 태어날때부터 죄를짓고태어난다했다.여기 난약사가 등장한이유도 마지막회에 나오듯 야차와나찰녀도 나온다. 님들아 제발 드라마 욕하기 이전에 이드라마의 숨은 의미도 좀 바라봐주길.ㅡ물론 사람이 잔인하게 죽고 하는 부분에 있어서는 물론 보기 안좋았겠지민 그럼 안보면된다 난 마지막10분전 대사한마디로 요약이 되던데...
winter,빈센조 돌아와 ㅠㅠㅠㅠ
nym,10 위권까지 나오는데 미국은 자막 읽는걸 싫어해서 비영어권은 잘 안 본데요. 월드랭킹 보다 미국랭킹이 더 중요해요.
kdm2****,킹덤3 언제 나옴..눈빠지겠네 ㅋ
sxx,틱톡 앱 있으신 분들 백상 예술 대상 인기상 송중기 투표 한 번씩 부탁드려요 고생하신 우리 배우님 상 안겨드려야죠!! 투표하기 3번 누르시면 돼요! 그리고 링크 공유하면 두 장 더 얻을 수 이ㅆ어요! 몇 초 안 걸리니까 한 번씩만 부탁드려요 송중기 배우님이 2등인데 1등이랑 격차가 좀 있어요 부탁드려요
sky3****,빈센조 센차 사랑합니다
kdm2****,킹덤윽 넷플 몇위까지 했어요?
jih,대단
nym,넷플 월드랭킹 4위네요.(한국포함 17개국 1위)미국에서도 8위 했어요. 정말 대단에요. 킹덤도 미국에서 한번도 10위권 안에 든적 없고 스위트홈이 유일하게 3윅까지 했었어요.
just****,이러면서도 재방도 보고있는 나 ㅎㅎ
neve****,빈센조 졸작이다. 어색한 구성  훈훈했던 전개와는 다르게 갑자기 잔인하고 찝찝힐 결말
just****,쌰발라가 델고있던 악당 죽을때 알아봤지만 장한서는 빈센조가 어쩔틈도 없이 죽게하던가 하지
BOM83,빈센조 돌아와주시길..인자기도ㅋㅋ
BOM83,"송중기,전여빈,금가프라자분들 진짜 감사했어요.속시원한 드라마 제작해주셔서 감사합니다.정말 유쾌하게 잘봤어요."
kdm2****,동감이요. 유쾌하게 가다가마지막회에..몰살시키고. 너무 잔인한거 아닌가 ㅜ ㅜ15세인데..찝찝하고 기분이 먼가 ..
just****,저런형 안도와준다규 ㅠ
윰댕,시즌 2 ...... 나와주세요 ..... 제발 ㅠ ㅁ ㅠ 송중기 보고 싶엉ㅛ 오래 ㅠㅠㅠㅠㅠㅠㅠ
최윤서,메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹..... 메이킹.....
징징이,메이킹은 안나오나요ㅠ
흐재,톡글 60만 찍자
ito,시즌2 만들어 주세요ㅜㅜㅜ
kdm2****,지금 마지막회 보는데먼가 찝찝하고 기분더럽네 ㅜ ㅜ1시간 동안 사람 몇명 죽는거야
흐재,빈센조 갓중기 존잘 ㅠㅠ 카리스마 & 미모 대박
써니,아니...태호?ㅋㅋㅋ니가왜거기서나와 ㅋㅋㅋ감빵에서 왜나와또 ㅋㅋㅋ
uate****,빈센조 2 만들어주세요ㅠㅠ일주일 버티는 힘이였는데...ㅠㅠ
손재승,송중기ㅠㅠㅠ
공존,중기야보고싶다ㅜ
Flower,오늘부터는 송중기배우 모든작품. 정주행. 세상어디에도없는 착한남자부터 레고레고~ 소년미 뿜뿜. 사랑스럽다.❤❤❤
pqpqpqp,왠만한 악한 그런거 이제 넘 약해서 못보겠닼ㅋㅋㅋㅋ아 진짴빈센조 쵝오
Plorian,내용은안보이고 송중기피부만보임
dodo****,와우 시청률 막방고공했진했네사실 펜하만 아니었음초반시청률 더오르고막방 더 높았을텐데 아쉽.사람들 더 봤어야 ㅜ
Plorian,송중기만모공읍네
qfet****,빈센조 또한다 마지막회차 딘짜~ 다 그러지 뭐 드라마가
금은경,clean boat cleaned it
Plorian,대체 뭔내용임 이드라만
연아,흑백?
KUDO,근데 장한서는 왜 흑백일까요 졸 착하던데
c군,clean boat cleaned it
연아,빈센조는 저라이타 박스로 사놨을거야
별달해,모두 즐방하세요.🤗
연아,어린시절선수였으면 지금 애낳고 키우고 생활고로 지쳤는데 그 폼이 살아있기 힘든 나이죠 저는 그주먹으로 때려 눕힐수 있다는걸 그저 아줌마들의 괴력으로 인정합니다 ㅋ
별달해,운호맘님 정답입니다.🤗
운호맘,포도밭 이름 빈세조 까사노 밑에 1+1 이표시가 장한석과 최명희를 포도밭에 거름으로 준거 아닐까여? ㅎ
별달해,그래요~못봤네요.그들이 가만히 있을 사람들이 아니죠.😅
Zero,아주머니 세월이 폼을 저렇게...만드심요 이해해주세요 ㅎ
Zero,닉도용 했었어요ㅎ
연아,어떻게 사람을 물어뜯냐
몽실98,이런 말하긴 그렇지만 19화에 분식집 아주머니 복싱 플라이급 동양챔피언 이라고 하시기엔 폼이 너무 안좋은데....ㅠㅠㅠ
별달해,글쎄요~~~😅😅😅
Zero,아... 그럼 저도 별달해님 따라서 ㅋㅋㅋㅋㅋㅋㅋ 언제 들어오실건가요ㅎ 저 오늘하루종일 기다렸습니다ㅋ
ace_****,태호♡민성 + 브금 ㅋㅋㅋㅋ
별달해,그래도 여긴 닉도용은 없네요.아직까진~
별달해,제가 아ㅅ달에서 엄청 힘들어서~여기서는 도망요.😅 죄송~제로님.
Zero,ㅋㅋㅋㅋㅋ 빈센조의 마력  남여 가릴것없이 다 빠져든다 이설정같아요ㅋ
연아,이드라마는 남자끼리 너무 안는다
Zero,죽이고 나서 포도밭거름으로 쓴다고 얘기했는디 ㅎㅎㅎ
연아,"금가 사람들은 실제로 금을 본적이 없으니 신빙성 자체도 그다지 없는거고 어디 있는지 조차 모리니 묻고 가는게 맞는거 같구요 금은 당시 프로그랭 담당이던 피아노쌤이랑 지푸라기 일원들 그리고 스님들, 필요한 만큼 조금씩 준거 같아요"
Zero,진짜웃김 ㅋㅋㅋ초코골드바 ㅋㅋ
별달해,예 검색을 열심히 😁 도움되어 다행입니다.🤗
kjhn****,빈센조 지금 라인업 그대로 극장판으로 영화 나왔으면 좋겠다…
Zero,존박 ost 찾아보세유
ace_****,초코바 골드바ㅋㅋㅋㅋ
Zero,별달해님 가지마세요ㅜㅜㅜㅜ
루시퍼,저 팝송 제목 뭐임?
별달해,아 재방송중이구나! 전 이만 바이입니다.🤗 도망~~
Zero,아무도 모르게 포도밭 거름이 됨 1+1 로 남김
미래의가치,배우분들 인터뷰영상 있나요?
7401****,와! 별달해님 진짜 친절하시네용!! 알려주셔서 감사합니다💜
ace_****,피아노 선생 피아노에 금괴 몇덩이 들어 있듯이 금가패밀리 모두 몇덩이 나눠줬을 듯
Zero,빈센조 목탁 두들기면서 콩그레츄레이션 ㅋ  그거 센조 본체가 되게 해보고싶었나보다 ㅋㅋㅋ
연아,문열었는데 전에 던져 넣은 윗도리랑 금하나가 없어졌네 디테일없다 진짜
별달해,베스트👫👬👭상은 없는것 같아요.
B612,금은 금가사람들도 다같이 나눠 가졌나요?
모모메이와사랑이란,금가사람들한테 금안주는건 알겠는데요금가사람들이 나중에도 금을 안찾네요그냥 금가사람들 기억에서 금은 잊혀진거로 나온건가봐요?
이진호,목탁 ㅋㅋㅋ
모모메이와사랑이란,똑같지않은데난 야차와 나차를 거느린 다문천왕이라서이래요
강은규,아 ㅋㅋㅋㅋㅋ 별달해님 이해가 되었습니다!! 아 너무 착하시네요~ 감사합니당 ^^
솔희,우리가족들  20화 보고 다 박수쳤는데요~  짝짝짝!!!!
8층조두순딸년,빈세조는 곽동연 배우라는 보석도 건졌죠 ㅎㅎ😄😄
별달해,포도밥 빈센조 이 대사로 이해되시려나?
ace_****,콩그레츄레이션... 프롬 검은머리 투 파뿌리
8층조두순딸년,빈센조 tvn 역대 시청률 6위 입니다 👏👏
DOUBLE,솔솔님 20화 보지 마세요 그냥 19화에서 멈추는게 나을수도 있어요 마지막이 워낙 초라해서
8층조두순딸년,어제 본방때 톡수9만 오른거 실화? ㄷㄷ
솔솔,19화에서 한서 죽는거 보고 너무 개연성 없어서 20화를 못 보고 있음.. 당연히 총 들고 있는 사람을 같이 제압해야지 런하면 어캄.. 형~형~하던 한서 모습에 눈물 나서 그 다음화는 못 보겠네...
강은규,아 근데 포도밭이 왜 복수를 의미하는지 이해가 안가네요 ㅠㅠ 그 아까 어떤분이 입소문 티비 보라해서 보고 왔는데도요..ㅋ 놓친부분이 있나보네요
bijo****,최명희가 죽을때 빈센조나 나나 똑같은 인간이라 했을때 빈센조가 아니라고.. 그리고 그 다음에 뭐라고 했는지 대사가 잘 인들렸는데 아시는 분??^^
Frosty,그래서 인자겐 뭔데??? 좀 누가 알려줘봐. 아넴 작가님에게 물어봐줘요. 인자기 정체는...그냥 그 이탈리아로부터 구해줄려고??
8층조두순딸년,송중기 영화 이번달에 재개핸다며 ㅎ축하
ace_****,금가동 조팝나무가 젤 레전드ㅋㅋㅋ
해밀,빈센조 OST 총 65곡 음원사이트에 올라와있네요~ 이거 들으면서 여운이라도 좀 더 오래 느껴봐야 갰어요~
해밀,빈센조 OST 총 65곡 음원사이트에 올라와있네요~ 이거 들으면서 여운이라도 좀 더 오래 느껴봐야 갰어요~
DOUBLE,상가 사람들한테 왜 나눠줘 ㅋ 금 관련 사람들한테 나눠 준거 나왔는데 뭘또 나눠줘 머가리 총맞았나보네 ㅉㅉ
ace_****,19화 액션씬이랑 금가패밀리 자막 보러 재방 봄ㅋㅋㅋㅋ
7401****,강은규킴 그거 너튜브에 뇌피소설가 입소문 tv에 <빈센조 시즌 2 가능?> 영상보시면 이해가실거예요!!
Zero,죽이고나서 포도밭 거름으로 쓴다잖아요 ㅎ
까미까미,
Zero,친절하게 설명해주진 않았죠..  악몽꾸는 그 부분을요
까미까미,
까미까미,
푼수마녀,올 바빠서 못 봤더니 그새 배우분들 인터뷰나 등등 많았나봐요 ㅠ 일단 그거부터 좀 챙겨봐야겠어요
bijo****,금은 상가사람들한테 안 나눠 줬나요~??? ㅋㅋㅋㅋㅋ 그건 안나옴
하싶일,재밋기만하구만
강은규,궁금한게 있는데 포도밭 나온거는 왜 마지막까지 복수를 했다는걸 의미하는지 잘 이해가 안가는데 알려주세요 ㅠ
rmf,ㅋㅋㅋㅋㅋㅋㅋㅋ 보면 볼수록 진짜 3분짜장 전개법 쓰네 작가 ㅂㅈㅂ  조카 크레파스 18색 이야 추적장치가 되있는 시계를  한석이가 선물로 한서한테 준걸 분해해추적장치 뺏어 뺏는데까진 그렇다치자? 근데 장한석이 그걸 몰랐다? 그걸 언급하는 장면이 단1도 안나왔다? 장한석이 모른체 넘어갔다?  말이 안되잖아
DOUBLE,제로는 뭔 헛소리임? ㅋ 종방을 못 견디나 ㅋㅋㅋ
푼수마녀,제압까진 아니고센조에게 처맞고 도망가는걸로 ㅋ
dlcosl,백상 인기상 투표 말하는거고 아스는 아스달 연대기 말씀하신 거 같아요!
별달해,아스달연대기요.
푼수마녀,밥 먹이고 죽였다 까지는 저도 들었어요 하지만 그게 그 강도인 줄은...게다가아이를 암시하는 대목은 없었던 거 같아서요
솔희,송배우님께 열심히 투표할께요
sml,아스가뭐임?
dream123,근데 무슨 투표해요?
기회는온다,거기서 바로 제압하면 바로 끝 분량 안나와요
Zero,자기 양부모 죽인 놈 마피아되어서 제일 먼저 복수하려고 가지고노니까 그 놈이 자살하려했다.. 그놈 치료끝나고 제일 비싼곳에서 밥 먹인뒤 바로 죽였다고 그때 죽이고 차를 보니 아이가 있던거예요 바로 어린시절 자기모습을  원수를 죽이며 본거죠 그게 트라우마된거구요
푼수마녀,아이 언급은 없었는데요??
별달해,아스2도 어려운 상태라고~😥😥😥
푼수마녀,그게 양부모를 죽인 강도 였다고요?
푼수마녀,매일매일? 오메...많이 겅부해야긋어요@@암튼 송배우에게 열심히 투표해보겠어요
DOUBLE,지들끼리만 신난 드라마
Zero,아이 서사 나왔잖아요 배부른고양이 얘기할때요
AILE,오늘부터 5월 10일까지 1일 3회 투표가능해요
dlcosl,힘든 월요일 다들 수고많으셨어요~ 모두 빈나잇!
넴넴,♡^^♡
Zero,녬녬님 빈나잇!
푼수마녀,아 맞다! 그 곰인형 끌어안고 있던 아이 서사는 안 나왔네요
Zero,그 트라우마는 꿈에 나오잖아요... 악몽꾸는.. 그래서 실수없이 신중해지는걸 표현한것같아요
glor****,네 낼뵈요~^^♡
넴넴,빈나잇 하세연~♡
푼수마녀,그래요? 서 ㅇㅈ 배우가 1등했다고 본 거 같아서 전 이미 끝난 줄 알았네요 그럼 지금 투표하면 되나요?
glor****,암튼 매일매일 투표 잊지않을께요~^^모두모두 빈나잇이요~^^♡
